countryName,continentName,continent
Vanuatu,Oceania,OC
Wallis and Futuna,Oceania,OC
Samoa,Oceania,OC
Kosovo,Europe,EU
Yemen,Asia,AS
Mayotte,Africa,AF
South Africa,Africa,AF
Zambia,Africa,AF
Zimbabwe,Africa,AF
,,
